district_number,district_name,place,total_incidents,total_victims
4D,WHEATON,Rental Storage Facility,14,14.0
4D,WHEATON,Residence - Apartment/Condo,6932,7265.0
4D,WHEATON,Residence - Apt Ofc/Storage,215,223.0
4D,WHEATON,Residence - Carport,81,81.0
4D,WHEATON,Residence - Driveway,3497,3527.0
4D,WHEATON,Residence - Garage,178,178.0
4D,WHEATON,Residence - Mobile Home,13,13.0
4D,WHEATON,Residence - Nursing Home,709,738.0
4D,WHEATON,Residence - Other,1009,1023.0
4D,WHEATON,Residence - Shed,253,254.0
4D,WHEATON,Residence - Single Family,13472,13926.0
4D,WHEATON,Residence - Yard,897,933.0
4D,WHEATON,Residence -Townhouse/Duplex,2439,2554.0
4D,WHEATON,Restaurant,1077,1118.0
4D,WHEATON,Retail - Appliances/Electronics,232,234.0
4D,WHEATON,Retail - Beauty/Barber Shop,51,55.0
4D,WHEATON,Retail - Clothing,498,501.0
4D,WHEATON,Retail - Department/Discount Store,2182,2197.0
4D,WHEATON,Retail - Drug Store/Pharmacy,844,846.0
4D,WHEATON,Retail - Dry Cleaner,25,27.0
4D,WHEATON,Retail - Hardware,212,213.0
4D,WHEATON,Retail - Jewelry,45,45.0
4D,WHEATON,Retail - Mall,3263,3311.0
4D,WHEATON,Retail - Other,1100,1110.0
4D,WHEATON,Retail - Salon/Spa,84,85.0
4D,WHEATON,Retail - Sporting Goods,75,75.0
4D,WHEATON,Retail - Video Store,20,20.0
4D,WHEATON,School - College/University,9,9.0
4D,WHEATON,School - Elementary/Secondary,1811,1876.0
4D,WHEATON,School/College - DO NOT USE,1245,1268.0
4D,WHEATON,Shelter-Mission/Homeless,6,6.0
4D,WHEATON,Street - Alley,260,267.0
4D,WHEATON,Street - Bus Stop,638,650.0
4D,WHEATON,Street - Commercial,1621,1658.0
4D,WHEATON,Street - In vehicle,7976,8020.0
4D,WHEATON,Street - Other,1529,1572.0
4D,WHEATON,Street - Residential,6825,6952.0
4D,WHEATON,Theater,23,26.0
4D,WHEATON,Wooded Area,112,113.0
5D,GERMANTOWN,Abandoned/Condemned Structures,3,3.0
5D,GERMANTOWN,Air/Bus/Train/Metro Terminal,89,91.0
5D,GERMANTOWN,Arena/Stadium/Fairgrounds/Coliseum,1,1.0
5D,GERMANTOWN,Atm Separate From Bank,3,3.0
5D,GERMANTOWN,Auto Dealership,104,104.0
5D,GERMANTOWN,Auto Repair,60,60.0
5D,GERMANTOWN,Bank - ATM,208,208.0
5D,GERMANTOWN,Bank/S&L/Credit Union,190,190.0
5D,GERMANTOWN,Bar/Night Club,39,39.0
5D,GERMANTOWN,Camp / Campground,1,1.0
5D,GERMANTOWN,Check Cashing Est.,6,6.0
5D,GERMANTOWN,Church/Synagogue/Temple,61,63.0
5D,GERMANTOWN,Commercial - Industrial park,36,36.0
5D,GERMANTOWN,Commercial - Office Building,280,282.0
5D,GERMANTOWN,Community Center,16,16.0
5D,GERMANTOWN,Construction Site,198,199.0
5D,GERMANTOWN,Convenience Store,610,623.0
5D,GERMANTOWN,Cyberspace,287,288.0
5D,GERMANTOWN,Daycare Facility,23,24.0
5D,GERMANTOWN,Doctor/Dentist/Vet Office,81,83.0
5D,GERMANTOWN,Farm Facility,12,12.0
5D,GERMANTOWN,Field/ Open Space,79,83.0
5D,GERMANTOWN,Gambling Facility / Casino / Race Track,1,1.0
5D,GERMANTOWN,Gas Station,320,325.0
5D,GERMANTOWN,Golf Course,24,25.0
5D,GERMANTOWN,Government Building,329,331.0
5D,GERMANTOWN,Grocery/Supermarket,1596,1611.0
5D,GERMANTOWN,Hospital/Emergency Care Center,304,337.0
5D,GERMANTOWN,Hotel/Motel/Etc.,262,266.0
5D,GERMANTOWN,Industrial Site,3,3.0
5D,GERMANTOWN,Jail/Prison,112,115.0
5D,GERMANTOWN,Lake/Waterway,14,14.0
